Open,High,Low,Close,Volume
746.25,747.25,746.2,746.95,1045532
746.95,747.55,746.8,747.05,351191
747.05,747.05,746.3,746.3,139491
746.3,746.55,746.1,746.1,330933
746.1,746.35,746.1,746.3,126331
746.3,746.3,746.15,746.15,13914
746.15,746.8,746.15,746.5,516817
746.5,746.5,745.85,745.85,9640
745.85,745.85,745.3,745.3,16104
745.3,746.7,745.3,746.7,280189
746.7,747.1,746.7,747.1,60810
747.1,747.6,746.9,747.2,488346
747.2,747.2,746.05,746.15,519234
746.15,746.25,745.95,746.2,30204
746.2,746.25,746.05,746.05,101864
746.05,746.85,746.05,746.85,222794
746.85,747.25,746.2,746.25,162772
746.25,746.7,746.2,746.5,29185
746.5,746.55,746.2,746.25,101569
746.25,746.3,746.2,746.3,31634
746.3,746.35,746.3,746.3,2
746.3,746.8,746.3,746.75,84530
746.75,746.8,746.35,746.35,184954
746.35,746.35,745.55,745.6,68889
745.6,745.85,745.25,745.8,64818
745.8,746.7,745.8,746.7,85960
746.7,746.7,746.35,746.4,20947
746.4,746.4,745.95,746.35,332464
746.35,746.35,746.1,746.35,169955
746.35,747.05,746.3,747,186203
747,747.2,747,747.1,183269
747.1,747.1,747.05,747.05,26896
747.05,747.65,747,747.65,22588
747.65,748.3,747.65,747.85,350146
747.85,747.85,747.45,747.45,45924
747.45,747.5,747.45,747.45,16697
747.45,747.85,747.45,747.85,208889
747.85,747.85,747.4,747.45,36641
747.45,747.45,746.65,746.65,140614
746.65,746.85,746.6,746.85,127986
746.85,748.25,746.8,748.2,167584
748.2,749,748.2,748.95,492301
748.95,749,748.2,748.25,96888
748.25,748.5,747.85,748,51128
748,748,747.85,748,46628
748,748,747.95,747.95,138631
747.95,748.7,747.95,748.1,26754
748.1,748.1,748.05,748.05,22424
748.05,748.55,748.05,748.5,69428
748.5,748.5,747.95,748,47863
748,748,747.25,747.3,246736
747.3,747.45,747.15,747.45,73235
747.45,747.5,747.3,747.35,12883
747.35,747.8,747.3,747.8,96414
747.8,748,747.5,748,100382
748,748,747.95,748,138674
748,748,747.7,747.75,476837
747.75,747.75,747.35,747.35,22417
747.35,747.4,747.25,747.3,51343
747.3,747.3,746.55,746.75,117650
746.75,748.1,746.7,748.1,325102
748.1,748.1,747.5,747.8,126476
747.8,747.8,747.05,747.15,39396
747.15,747.15,747.05,747.1,79848
747.1,747.1,746.75,746.8,25852
746.8,746.8,746.2,746.4,156844
746.4,746.45,746.4,746.45,5306
746.45,746.75,745.4,746.75,520983
746.75,746.75,746.4,746.4,109627
746.4,746.4,746.15,746.15,14793
746.15,746.4,746,746.15,145081
746.15,746.4,746.05,746.4,67481
746.4,746.4,746,746.05,91231
746.05,746.25,746,746.2,4321
746.2,746.25,746.15,746.2,106739
746.2,747.2,746.2,747.15,169214
747.15,748.3,747.15,748.25,72428
748.25,748.7,748.25,748.35,159220
748.35,748.65,748.3,748.65,24525
748.65,748.65,748.4,748.45,144706
748.45,748.5,748.2,748.2,128419
748.2,748.2,748.15,748.2,30480
748.2,748.2,747.65,747.65,133787
747.65,747.7,746.9,746.9,49541
746.9,747.3,746.9,747.3,43990
747.3,747.75,747.25,747.65,8162
747.65,747.75,747.5,747.5,92200
747.5,747.8,747.2,747.25,281196
747.25,747.4,747.2,747.35,33129
747.35,747.45,747.35,747.45,28898
747.45,747.75,747.4,747.75,41691
747.75,747.75,746.15,746.2,216421
746.2,746.6,746,746,248862
746,746.2,743.8,744.45,725746
744.45,745,744.35,745,178175
745,745.25,744.9,744.9,165994
744.9,744.9,744.25,744.25,86388
744.25,744.65,744.2,744.4,223827
744.4,744.45,744.35,744.4,19419
744.4,744.6,744.4,744.6,80597